season,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,POSTSEASON,SEED,free_throw_pct,three_point_pct,roster_experience_years
2026,Michigan,B10,36,33,128.796824673288,92.45042933892908,0.978394835474468,,,,,,,,,,,,,,,71.04312915134904,14.196643876139026,,,,,
2026,Arizona,B12,36,34,127.30100571139576,91.63273774684993,0.9777041528853504,,,,,,,,,,,,,,,69.83899935908863,13.746788343971936,,,,,
2026,Duke,ACC,36,34,127.10658962260808,91.6272604970974,0.9773330087274984,,,,,,,,,,,,,,,65.87658068932848,13.521857804891226,,,,,
2026,Houston,B12,36,30,125.57231443026762,91.80731975763696,0.9734465280876512,,,,,,,,,,,,,,,63.350737753248254,9.02171414451555,,,,,
2026,Florida,SEC,35,27,126.88093898762752,93.22196983631147,0.9719429172720806,,,,,,,,,,,,,,,70.1496038433914,8.727612115211013,,,,,
2026,Illinois,B10,34,26,132.48203611417077,98.29661707555572,0.9686976888111014,,,,,,,,,,,,,,,65.71074479468525,6.808439629912273,,,,,
2026,Iowa St.,B12,36,29,124.17142924294646,92.88348291574442,0.9657311463072548,,,,,,,,,,,,,,,67.22878289739428,7.485696955812446,,,,,
2026,Purdue,B10,37,29,133.5383745829131,100.50744930338156,0.9633076997887472,,,,,,,,,,,,,,,64.49903383480537,9.477582376795858,,,,,
2026,Connecticut,BE,36,31,123.36895563114716,95.34883570954258,0.950866374727303,,,,,,,,,,,,,,,64.67522658031731,9.239354664915416,,,,,
2026,St. John's,BE,36,30,120.38793588547846,93.42114682173974,0.9486521129356428,,,,,,,,,,,,,,,69.53644841068927,7.612822563797915,,,,,
2026,Michigan St.,B10,34,27,123.5838046680702,96.11441331343718,0.9473933841697084,,,,,,,,,,,,,,,66.16318749697123,7.640668406959666,,,,,
2026,Tennessee,SEC,35,24,122.0823386943434,95.21214734008213,0.9457699520851052,,,,,,,,,,,,,,,65.23972628960905,4.2840008078670895,,,,,
2026,Vanderbilt,SEC,36,27,127.80504508844732,100.29655231343052,0.9419861619437104,,,,,,,,,,,,,,,68.76247735308078,7.483689059627531,,,,,
2026,Alabama,SEC,34,25,130.23112118796266,102.25673417639024,0.9416391506898149,,,,,,,,,,,,,,,72.99364679319568,6.750217064283993,,,,,
2026,Nebraska,B10,34,28,117.77021002205132,93.30013226724978,0.935746536599262,,,,,,,,,,,,,,,66.57555680509459,7.764214216018994,,,,,
2026,Texas Tech,B12,34,23,125.9706445857062,99.81181222752528,0.9356417302022876,,,,,,,,,,,,,,,66.16710438549808,5.1326747257142795,,,,,
2026,Gonzaga,WCC,35,31,119.43013958869534,94.63861268639056,0.9355749898273074,,,,,,,,,,,,,,,68.69526386371979,7.321010877746074,,,,,
2026,Virginia,ACC,36,30,122.5811433500848,97.50556217819306,0.9328887009977462,,,,,,,,,,,,,,,65.6267745362448,7.774844777757944,,,,,
2026,Arkansas,SEC,36,28,128.22365611180916,102.1320090786702,0.9319073103642764,,,,,,,,,,,,,,,71.16561437926515,7.692383757401766,,,,,
2026,Louisville,ACC,35,24,123.60775856198912,98.65125679200156,0.9304425262495764,,,,,,,,,,,,,,,69.69217473571214,3.860316234651357,,,,,
2026,Kansas,B12,35,24,117.1570514665528,94.05025846104424,0.925971245318619,,,,,,,,,,,,,,,67.68599808553714,6.362876386511178,,,,,
2026,Wisconsin,B10,35,24,126.9357046184902,101.96259206653647,0.9254878620460592,,,,,,,,,,,,,,,68.76725116242191,5.614216722233303,,,,,
2026,Iowa,B10,35,23,123.88960111963758,100.57268806151345,0.916664464054486,,,,,,,,,,,,,,,62.6922336591268,2.1874197797313775,,,,,
2026,Ohio St.,B10,34,21,124.60331443340304,101.68380583959616,0.9119413199252364,,,,,,,,,,,,,,,66.0780906158265,3.097544572541446,,,,,
2026,UCLA,B10,36,24,123.89636133075749,101.43900157566485,0.9088653923329366,,,,,,,,,,,,,,,64.82282494441174,3.820519158034208,,,,,
2026,Utah St.,MWC,36,29,123.70764932589624,102.49503039675284,0.8968984499894668,,,,,,,,,,,,,,,67.45180322486002,4.384622854496888,,,,,
2026,North Carolina,ACC,33,24,120.7331875777916,100.11088843688208,0.8960422338208328,,,,,,,,,,,,,,,67.96366201953673,4.823341980897663,,,,,
2026,Saint Mary's,WCC,33,27,117.92166181005273,98.01480283443324,0.8934401977527774,,,,,,,,,,,,,,,65.02502844509138,3.963284416411608,,,,,
2026,Kentucky,SEC,36,22,119.9463499079159,100.10174501127116,0.8889302665124138,,,,,,,,,,,,,,,68.27165480214519,3.4634229846255864,,,,,
2026,Cincinnati,B12,33,18,112.45936059766244,94.06565308016388,0.8863398732501029,,,,,,,,,,,,,,,67.68899667425171,-1.9256296702514797,,,,,
2026,Santa Clara,WCC,35,26,124.99258080718634,104.60694017097836,0.8856959334901341,,,,,,,,,,,,,,,69.19207283711664,2.0739617062888236,,,,,
