team,last5_margin,last10_margin,last5_winpct
UNT Dallas,-51.0,-51.0,0.0
USC,-13.8,-15.6,0.0
USC Upstate,1.2,-1.0,0.4
UT Arlington,3.0,0.8,0.6
UT Rio Grande Valley,8.0,5.4,0.6
UTEP,-4.8,-8.4,0.4
UTSA,-10.6,-12.2,0.0
Union Commonwealth,-43.5,-43.5,0.0
Utah,-16.0,-15.2,0.0
Utah St.,14.0,3.0,1.0
Utah Tech,-3.8,-4.2,0.4
Utah Valley,2.8,4.6,1.0
VCU,5.4,4.4,1.0
VMI,-12.2,-13.0,0.0
VTSU Lyndon,-71.0,-71.0,0.0
VTSU-Johnson,-47.6,-50.0,0.0
Valley Forge,-39.0,-39.0,0.0
Valparaiso,-2.2,0.2,0.4
Vanderbilt,5.0,1.6,1.0
Vassar,-32.0,-32.0,0.0
Vermont,14.2,10.0,1.0
Villanova,3.4,-1.0,0.6
Virginia,10.8,0.8,0.8
Virginia St.,4.0,4.0,1.0
Virginia Tech,-0.2,2.8,0.4
Virginia-Lynchburg,-78.6,-78.0,0.0
Voorhees,-51.0,-51.0,0.0
Wagner,4.6,6.6,0.6
Wake Forest,0.2,0.8,0.6
Warner Pacific,-55.0,-55.0,0.0
Warren Wilson,-61.0,-61.0,0.0
Wash. & Lee,-14.0,-14.0,0.0
Washington,-0.8,-0.6,0.4
Washington Adventist,-14.0,-14.0,0.0
Washington Col.,-41.5,-41.5,0.0
Washington St.,-6.2,-3.0,0.0
Waynesburg,-53.0,-53.0,0.0
Weber St.,-9.6,0.8,0.2
Webster,-49.5,-49.5,0.0
WesleyanOhio,33.0,33.0,1.0
West,-29.0,-29.0,0.0
West Coast Baptist,-76.8,-79.3333,0.0
West Georgia,2.4,2.4,0.6
West Va. Tech,-50.0,-50.0,0.0
West Va. Wesleyan,-38.0,-38.0,0.0
West Virginia,-2.4,-1.2,0.4
Western Carolina,4.6,8.8,0.6
Western Illinois,-21.2,-18.0,0.0
Western Kentucky,-16.2,1.6,0.0
Western Michigan,-4.8,-3.4,0.0
Western New Eng.,-7.0,-7.0,0.0
Western New Mexico,-37.0,-37.0,0.0
Westminster (UT),-43.5,-43.5,0.0
Whitman,-45.0,-45.0,0.0
Whittier,-42.0,-42.0,0.0
Wichita St.,15.2,11.2,1.0
Widener,-34.0,-34.0,0.0
Willamette,-37.0,-37.0,0.0
William & Mary,-6.6,-0.4,0.6
William Carey,-24.5,-24.5,0.0
William Peace,-28.0,-28.0,0.0
Williams Baptist,-14.0,-14.0,0.0
Wilmington DE,9.0,9.0,1.0
Wilson,-39.0,-39.0,0.0
Winthrop,-4.2,-1.2,0.6
Wisconsin,3.2,12.0,1.0
Wofford,-1.8,-1.2,0.2
Worcester St.,-30.0,-30.0,0.0
Wright St.,12.2,10.0,1.0
Wyoming,4.8,2.2,0.6
Xavier,-11.8,-7.6,0.4
Yale,11.8,6.6,0.8
York (NE),-47.0,-47.0,0.0
Youngstown St.,-17.4,-4.0,0.0
