team,last5_margin,last10_margin,last5_winpct
Delaware St.,-0.2,-3.2,0.6
Denver,-14.8,-4.6,0.2
Detroit Mercy,5.4,3.8,0.6
Dickinson,-35.0,-35.0,0.0
District of Columbia,-32.0,-32.0,0.0
Doane,-9.0,-9.0,0.0
Dominican,-23.0,-23.0,0.0
Dominican (IL),-68.0,-68.0,0.0
Drake,0.0,-4.6,0.6
Drexel,-2.6,-0.2,0.4
Duke,8.2,16.6,1.0
Duquesne,0.8,-4.8,0.6
Earlham,-63.0,-63.0,0.0
East,-41.0,-41.0,0.0
East Carolina,-10.4,-5.8,0.2
East Tennessee St.,-3.8,-3.0,0.6
East Texas A&M,-8.6,-2.8,0.0
East-West U.,-54.6,-57.0,0.0
Eastern,-32.0,-32.0,0.0
Eastern Illinois,-4.2,-4.4,0.4
Eastern Kentucky,-11.0,-6.4,0.0
Eastern Michigan,-7.2,-6.0,0.0
Eastern Oregon,-23.5,-23.5,0.0
Eastern Washington,-4.0,5.8,0.4
Ecclesia,-48.4,-46.2,0.0
Elizabeth City St.,-13.0,-13.0,0.0
Elmira,-40.0,-40.0,0.0
Elms,-72.5,-72.5,0.0
Elon,-14.8,-13.4,0.0
Embry-Riddle (AZ),-29.0,-29.0,0.0
Emerson,-23.0,-23.0,0.0
Emmanuel (MA),-28.0,-28.0,0.0
Erskine,-34.0,-34.0,0.0
Eureka,-42.5,-42.5,0.0
Evangel,-6.0,-6.0,0.0
Evansville,-9.0,-13.8,0.2
Evergreen St.,-41.5,-41.5,0.0
FIU,8.2,1.2,0.4
Fairfield,3.8,1.4,0.6
Fairleigh Dickinson,-12.6,-9.2,0.0
Farmingdale St.,-7.0,-7.0,0.0
Fisher,-49.0,-49.0,0.0
Fisk,-42.6,-45.25,0.0
Fla. Memorial,-2.0,-2.0,0.0
Florida,12.8,19.2,1.0
Florida A&M,3.6,5.8,0.6
Florida Atlantic,-3.6,-2.6,0.4
Florida Gulf Coast,7.8,0.8,0.6
Florida National,-52.0,-52.0,0.0
Florida St.,4.6,5.6,0.6
Fordham,2.6,-2.0,0.4
Fort Lauderdale,-31.8,-31.3333,0.0
Fort Valley St.,-34.0,-34.0,0.0
Franciscan,-25.0,-25.0,0.0
Franklin,-49.0,-49.0,0.0
Franklin Pierce,-2.0,-2.0,0.0
Fresno Pacific,-37.0,-37.0,0.0
Fresno St.,-8.8,-7.0,0.2
Furman,9.4,5.6,1.0
Gallaudet,-58.0,-58.0,0.0
Gardner Webb,-10.4,-9.8,0.4
Geneva,-46.0,-46.0,0.0
George Fox,-44.0,-44.0,0.0
George Mason,8.2,2.6,0.4
George Washington,-2.4,-0.4,0.4
Georgetown,0.6,0.6,0.6
Georgia,2.8,4.6,0.6
Georgia College,-61.0,-61.0,0.0
Georgia Southern,0.0,4.8,0.6
Georgia St.,-7.8,-7.0,0.0
Georgia Tech,-7.4,-13.2,0.0
Georgian Court,-46.5,-46.5,0.0
Gonzaga,5.8,11.8,0.8
Grambling St.,9.2,0.6,0.6
Grand Canyon,13.6,11.0,0.6
Green Bay,-0.4,2.2,0.6
Greensboro,-34.0,-34.0,0.0
Gwynedd Mercy,-24.0,-24.0,0.0
Hampton,-3.8,-5.0,0.2
Hannibal-La Grange,-31.0,-31.0,0.0
Hanover,-39.0,-39.0,0.0
Harris-Stowe,-57.0,-57.0,0.0
Harvard,3.2,5.4,0.6
Haskell,-30.0,-30.0,0.0
Hawaii,6.2,6.2,0.6
Hawaii Pacific,1.0,1.0,1.0
High Point,12.0,9.8,1.0
HiloHawaii,52.0,52.0,1.0
Hofstra,9.8,12.0,1.0
Holy Cross,-2.0,-3.6,0.4
Holy Cross IN,-33.0,-33.0,0.0
Holy Family,-12.0,-12.0,0.0
Houghton,-23.0,-23.0,0.0
Houston,13.0,17.8,1.0
Houston Christian,-0.6,-5.8,0.4
Howard,14.0,20.6,1.0
Howard Payne,-56.0,-56.0,0.0
Huntingdon,-37.0,-37.0,0.0
Huston-Tillotson,-34.0,-34.0,0.0
IIT,-34.5,-34.5,0.0
IU Columbus,-44.0,-44.0,0.0
IU Indy,-8.0,-8.6,0.0
Idaho,10.4,11.0,1.0
Idaho St.,-3.2,-2.4,0.4
Illinois,6.4,2.8,0.6
Illinois Chicago,5.2,2.2,0.6
Illinois St.,-5.6,-2.0,0.6
Incarnate Word,0.6,-1.2,0.4
Ind.-East,-49.5,-49.5,0.0
Indiana,-4.4,-2.6,0.2
Indiana St.,3.8,-6.8,0.4
Iona,1.6,4.2,0.6
Iowa,1.4,-1.2,0.4
Iowa St.,17.8,14.8,0.6
JWU (Providence),-61.5,-61.5,0.0
JWU Charlotte,-64.0,-64.0,0.0
Jackson St.,-1.2,-4.2,0.6
Jacksonville,9.2,3.8,0.6
Jacksonville St.,-1.2,0.6,0.4
James Madison,3.4,7.8,0.4
Jamestown,-15.0,-15.0,0.0
Jarvis Christian,-38.0,-38.0,0.0
Jessup,-10.0,-10.0,0.0
John Brown,-34.0,-34.0,0.0
John Jay,-41.0,-41.0,0.0
Johnson C. Smith,-19.0,-19.0,0.0
Justice U.,-38.0,-37.0,0.0
Kansas,-10.6,-13.8,0.4
Kansas Christian,-55.0,-55.0,0.0
Kansas St.,-6.6,-11.6,0.4
Kean,-2.0,-2.0,0.0
Kennesaw St.,5.4,2.6,0.8
Kent St.,3.2,3.2,0.6
Kentucky,0.2,-3.0,0.6
