Team,Seed,ModelRank
Brigham Young,6,305
Florida State,0,306
New Mexico,0,307
Canisius,0,308
North Carolina,6,309
Santa Clara,10,310
Utah State,8,311
Kentucky,7,312
Cincinnati,0,313
Miami FL,0,314
North Carolina State,11,315
Auburn,0,316
Southern Methodist,11,317
San Diego State,0,318
Texas,0,319
Baylor,0,320
TCU,9,321
Washington,0,322
Virginia Tech,0,323
Virginia Commonwealth,11,324
Grand Canyon,0,325
UCF,10,326
Stanford,0,327
Tulsa,0,328
Arizona St.,0,329
Northern Illinois,0,330
Southern Indiana,0,331
New Hampshire,0,332
DePaul,0,333
South Carolina,0,334
Wyoming,0,335
Notre Dame,0,336
Cal Baptist,0,337
Pittsburgh,0,338
Davidson,0,339
Pacific,0,340
Mississippi St.,0,341
Sam Houston St.,0,342
Seattle,0,343
UC Irvine,0,344
Bryant,0,345
Binghamton,0,346
Illinois Chicago,0,347
Maryland,0,348
North Dakota St.,0,349
Utah,0,350
Stonehill,0,351
Rider,0,352
Maine,0,353
Nevada Las Vegas,0,354
VMI,0,355
Illinois St.,0,356
St. Thomas,0,357
South Carolina St.,0,358
Western Illinois,0,359
Maryland Eastern Shore,0,360
UMKC,0,361
Coppin St.,0,362
Mississippi Valley St.,0,363
Delaware St.,0,364
Gardner Webb,0,365
