run_timestamp,game_date,event_id,away_team,home_team,away_moneyline,home_moneyline,away_pitcher,home_pitcher,away_pitcher_id,home_pitcher_id,away_pitcher_fip,home_pitcher_fip,away_pitcher_xfip,home_pitcher_xfip,away_pitcher_ip,home_pitcher_ip,away_pitcher_source,home_pitcher_source,away_team_recent_win_pct,home_team_recent_win_pct,away_team_form_bonus,home_team_form_bonus,away_recent_ra_avg,home_recent_ra_avg,away_pitch_adj,home_pitch_adj,park_factor,weather_data_present,raw_model_prob_home,p_home,fair_home_prob,edge_h,edge_a,pick_team,pick_odds,pick_edge,verdict,verdict_detail
2026-06-25T01:40:33.300366Z,2026-06-24,823611,Chicago Cubs,New York Mets,,,,Sean Manaea,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,SKIP_MISSING_DATA,Chicago Cubs @ New York Mets | SKIP (before model/edges): missing_or_invalid_home_moneyline; missing_or_invalid_away_moneyline
2026-06-25T01:40:33.300366Z,2026-06-24,824500,Milwaukee Brewers,Cincinnati Reds,-144.0,123.0,Shane Drohan,Rhett Lowder,675660,695076,3.0965,4.406000000000001,3.03,4.355,47.667,52.333,2026,2026,0.5714285714285714,0.3333333333333333,0.005714285714285712,-0.013333333333333336,2.857142857142857,3.5,0.06571428571428571,0.04,1.08,false,0.3558513620181489,0.3672386633779407,0.43176670441676107,-0.18105778066719225,0.07217893149848931,Milwaukee Brewers,-144.0,0.07217893149848931,SKIP_FAVORITE_LOW_EDGE,Milwaukee Brewers @ Cincinnati Reds | SKIP_FAVORITE_LOW_EDGE: Milwaukee Brewers at -144 | edge=0.072 below MIN_FAVORITE_EDGE_DECIMAL=0.1
2026-06-25T01:40:33.300366Z,2026-06-24,823691,Los Angeles Dodgers,Minnesota Twins,-179.0,150.0,Shohei Ohtani,Joe Ryan,660271,657746,2.5,3.1455,2.112,3.122,73.667,87.333,blend,blend,0.6666666666666666,0.5,0.01333333333333333,0.0,4.666666666666667,6.0,-0.006666666666666678,-0.06,1.0,false,0.366696357207121,0.3692968588910219,0.38403303509979353,-0.07675785277244529,-0.016948735366453138,Los Angeles Dodgers,-179.0,-0.016948735366453138,SKIP_HEAVY_CHALK,SKIP_HEAVY_CHALK: Los Angeles Dodgers at -179 exceeds MAX_FAVORITE_ODDS=-160
2026-06-25T01:40:33.300366Z,2026-06-24,823041,Arizona Diamondbacks,St. Louis Cardinals,103.0,-118.0,Mitch Bratt,Matthew Liberatore,,669461,4.25,4.689500000000001,4.25,4.745,50.0,72.333,default,blend,0.5,0.3333333333333333,0.0,-0.013333333333333336,5.333333333333333,7.0,-0.03333333333333332,-0.1,0.98,false,0.4803012872830226,0.4867869330243324,0.5235389255584212,-0.1006817678025046,0.04182252596060532,Arizona Diamondbacks,103.0,0.04182252596060532,NO_PLAY_BELOW_MIN_EDGE,Arizona Diamondbacks @ St. Louis Cardinals | NO_PLAY: best_pick_edge=0.0418 < MIN 0.05 (edge_h=-0.1007 edge_a=0.0418)
2026-06-25T01:40:33.300366Z,2026-06-24,823284,Atlanta Braves,San Diego Padres,-129.0,110.0,Martín Pérez,JP Sears,527048,676664,3.854,5.2975,3.803,5.416,68.0,135.667,blend,2025,0.3333333333333333,0.6666666666666666,-0.013333333333333336,0.01333333333333333,4.833333333333333,4.0,-0.013333333333333322,0.02,0.96,false,0.4345944864024198,0.43811905619060654,0.45809161832366474,-0.07994998199972625,-0.002552433082549599,Atlanta Braves,-129.0,-0.002552433082549599,NO_PLAY_BOTH_NEGATIVE,Atlanta Braves @ San Diego Padres | NO_PLAY: both edges negative (edge_h=-0.0799 edge_a=-0.0026); best_pick_edge=-0.0026 < MIN 0.05
2026-06-25T01:40:33.300366Z,2026-06-24,823208,Athletics,San Francisco Giants,-127.0,108.0,Gage Jump,Tyler Mahle,695611,641816,2.5,4.27,2.114,4.278,30.333,56.667,2026,blend,0.3333333333333333,0.5,-0.013333333333333336,0.0,7.0,3.3333333333333335,-0.1,0.04666666666666666,0.94,false,0.45429796093943764,0.45547894478532874,0.4621711865787116,-0.05260379484651623,-0.026722208395823732,Athletics,-127.0,-0.026722208395823732,NO_PLAY_BOTH_NEGATIVE,Athletics @ San Francisco Giants | NO_PLAY: both edges negative (edge_h=-0.0526 edge_a=-0.0267); best_pick_edge=-0.0267 < MIN 0.05
2026-06-25T11:31:13.655727Z,2026-06-25,822961,Kansas City Royals,Tampa Bay Rays,122.0,-143.0,Seth Lugo,Casey Legumina,607625,668984,4.192,3.7960000000000003,4.179,3.744,85.333,31.333,blend,blend,0.6666666666666666,0.5,0.01333333333333333,0.0,5.666666666666667,4.333333333333333,-0.04666666666666668,0.006666666666666678,0.97,false,0.5381525395577187,0.5423937952261377,0.5664275773471791,-0.07830984447586398,0.015885774597974134,Kansas City Royals,122.0,0.015885774597974134,NO_PLAY_BELOW_MIN_EDGE,Kansas City Royals @ Tampa Bay Rays | NO_PLAY: best_pick_edge=0.0159 < MIN 0.05 (edge_h=-0.0783 edge_a=0.0159)
2026-06-25T11:31:13.655727Z,2026-06-25,823366,Seattle Mariners,Pittsburgh Pirates,-145.0,123.0,Bryce Miller,Bubba Chandler,682243,696149,3.848,3.835,3.871,3.788,40.0,74.0,blend,blend,0.5,0.4,0.0,-0.007999999999999998,4.166666666666667,3.2,0.013333333333333322,0.05199999999999999,1.03,false,0.45172562129769334,0.4486276384883653,0.43107240256883966,0.0004396338290546531,-0.06837083744585859,Pittsburgh Pirates,123.0,0.0004396338290546531,NO_PLAY_BELOW_MIN_EDGE,Seattle Mariners @ Pittsburgh Pirates | NO_PLAY: best_pick_edge=0.0004 < MIN 0.05 (edge_h=0.0004 edge_a=-0.0684)
2026-06-25T11:31:13.655727Z,2026-06-25,823209,Athletics,San Francisco Giants,113.0,-133.0,Jeffrey Springs,Landen Roupp,605488,694738,5.388,3.2775,5.502,3.204,82.667,80.333,blend,blend,0.3333333333333333,0.4,-0.013333333333333336,-0.007999999999999998,5.333333333333333,2.8,-0.03333333333333332,0.068,0.94,false,0.5406259370104621,0.5418375336850642,0.5487032481744757,-0.0507658244464666,-0.024113946749186654,Athletics,113.0,-0.024113946749186654,NO_PLAY_BOTH_NEGATIVE,Athletics @ San Francisco Giants | NO_PLAY: both edges negative (edge_h=-0.0508 edge_a=-0.0241); best_pick_edge=-0.0241 < MIN 0.05
2026-06-25T11:31:13.655727Z,2026-06-25,824258,Houston Astros,Detroit Tigers,-104.0,-114.0,Tatsuya Imai,Troy Melton,837227,675512,4.7275,5.1265,4.745,5.183,41.0,31.667,2026,blend,0.6666666666666666,0.6666666666666666,0.01333333333333333,0.01333333333333333,4.0,3.1666666666666665,0.02,0.053333333333333344,0.97,false,0.5089357759145268,0.5092433265602182,0.5109861135524697,-0.04405200101853768,-0.037361909791197134,Houston Astros,-104.0,-0.037361909791197134,NO_PLAY_BOTH_NEGATIVE,Houston Astros @ Detroit Tigers | NO_PLAY: both edges negative (edge_h=-0.0441 edge_a=-0.0374); best_pick_edge=-0.0374 < MIN 0.05
