Date,Odds_File,Home,Away,Market_Spread,Pred_Margin,Pick_Spread,Confidence_Level,Edge_Points,Has_Rebound_Advantage,Spread_Prob,Over_Under,Pick_Total
2026-03-07,March_07_2025_Odds.csv,Florida,Kentucky,-6.5,14.96564769744873,Home,High,21.46564769744873,False,0.98,160.0,Under
2026-03-07,March_07_2025_Odds.csv,Miami FL,Louisville,-1.5,-10.832287788391112,Away,High,9.332287788391112,False,0.0367455410606959,157.0,Under
2026-03-07,March_07_2025_Odds.csv,Colorado St.,Boise St.,-1.5,5.797108173370361,Home,High,7.297108173370361,False,0.9278409662792612,143.5,Under
2026-03-07,March_07_2025_Odds.csv,Alabama,Auburn,-8.5,15.692721366882324,Home,High,24.192721366882324,False,0.98,178.5,Under
2026-03-07,March_07_2025_Odds.csv,Virginia,Virginia Tech,-11.5,10.60791015625,Home,High,22.10791015625,False,0.98,145.5,Under
2026-03-07,March_07_2025_Odds.csv,Kansas,Kansas St.,-16.0,4.020223140716553,Home,High,20.020223140716553,False,0.98,156.5,Under
2026-03-07,March_07_2025_Odds.csv,Tennessee,Vanderbilt,-4.0,11.768270492553713,Home,High,15.768270492553713,False,0.98,147.5,Under
2026-03-07,March_07_2025_Odds.csv,TCU,Cincinnati,-2.0,2.9788646697998047,Home,Medium,4.978864669799805,False,0.8510173467666486,140.5,Under
2026-03-07,March_07_2025_Odds.csv,Central Arkansas,Florida Gulf Coast,-5.5,-0.6952967643737793,Home,Medium,4.804703235626221,False,0.8431223831665808,146.0,Under
2026-03-07,March_07_2025_Odds.csv,Vermont,Bryant,-11.5,8.245989799499512,Home,High,19.74598979949951,False,0.98,130.5,Under
2026-03-07,March_07_2025_Odds.csv,Appalachian St.,Southern Miss,-3.5,18.23157119750977,Home,High,21.73157119750977,False,0.98,136.0,Under
2026-03-07,March_07_2025_Odds.csv,Austin Peay,Queens,-1.5,3.779078245162964,Home,Medium,5.279078245162964,False,0.863854170780676,161.5,Under
2026-03-07,March_07_2025_Odds.csv,Idaho St.,Northern Arizona,-4.5,6.121682167053223,Home,High,10.621682167053224,False,0.9762836563206468,142.0,Under
2026-03-07,March_07_2025_Odds.csv,St. Bonaventure,Davidson,-3.0,4.464550971984863,Home,High,7.464550971984863,False,0.9316676492322782,142.0,Under
2026-03-07,March_07_2025_Odds.csv,Clemson,Georgia Tech,-16.5,3.056842088699341,Home,High,19.55684208869934,False,0.98,144.5,Under
2026-03-07,March_07_2025_Odds.csv,Campbell,Stony Brook,-2.5,8.076026916503906,Home,High,10.576026916503906,False,0.9759108432389034,146.5,Under
2026-03-07,March_07_2025_Odds.csv,Loyola Chicago,George Washington,-10.5,5.011433124542236,Home,High,15.511433124542236,False,0.98,152.0,Under
2026-03-07,March_07_2025_Odds.csv,Duquesne,Richmond,-5.0,13.950861930847168,Home,High,18.950861930847168,False,0.98,150.0,Under
2026-03-07,March_07_2025_Odds.csv,Cornell,Dartmouth,-5.0,13.225021362304688,Home,High,18.225021362304688,False,0.98,165.5,Under
2026-03-07,March_07_2025_Odds.csv,Butler,DePaul,-14.0,4.801907539367676,Home,High,18.801907539367676,False,0.98,148.5,Under
2026-03-07,March_07_2025_Odds.csv,Creighton,Seton Hall,-8.5,13.235944747924805,Home,High,21.735944747924805,False,0.98,142.0,Under
2026-03-07,March_07_2025_Odds.csv,Providence,Georgetown,-13.0,0.4415564835071563,Home,High,13.441556483507156,False,0.98,145.5,Under
2026-03-07,March_07_2025_Odds.csv,St. John's,Marquette,-2.5,6.9040727615356445,Home,High,9.404072761535645,False,0.9641334795371064,154.0,Under
2026-03-07,March_07_2025_Odds.csv,Washington St.,Oregon St.,-9.0,-0.8599271178245544,Home,High,8.140072882175446,False,0.9452682882283976,138.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-5.5,6.60783052444458,Away,High,-12.10783052444458,False,0.4042613032487679,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-2.6471428871154785,Away,Medium,-4.8528571128845215,False,0.972118112038036,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.379987716674805,Home,High,14.879987716674805,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Maryland,Illinois,15.5,-20.953840255737305,Home,High,36.453840255737305,False,0.8708892316280149,146.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-27.295562744140625,Home,High,16.795562744140625,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Rice,UTSA,-12.5,-7.073190689086914,Away,Medium,-5.426809310913086,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-3.5182101726531982,Home,Medium,6.018210172653198,False,0.5881622927107806,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-18.468278884887695,Home,High,8.968278884887695,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,3.586639404296875,Away,High,-10.086639404296877,False,0.7349095240083562,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-6.441315174102783,Home,High,9.941315174102783,False,0.7368112524741055,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Nicholls St.,N.C. State,-2.5,2.4260964393615723,Away,Medium,-4.926096439361572,False,0.5064662010353924,141.5,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-10.827168464660645,Home,High,7.3271684646606445,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Hofstra,-4.5,-23.346590042114254,Home,High,18.846590042114254,False,0.98,154.5,Under
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,3.671278476715088,Away,Medium,-6.171278476715088,False,0.3989247176823409,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-28.879047393798828,Home,High,18.379047393798828,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,10.400583267211914,Away,High,-14.900583267211914,False,0.1125250788155535,150.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-10.63382339477539,Home,Medium,4.133823394775391,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-21.503751754760746,Home,Medium,5.003751754760742,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-0.7667727470397949,Away,Medium,-6.733227252960205,False,0.947517740470449,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.243282318115234,Home,High,14.743282318115234,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Maryland,Illinois,15.5,-20.953840255737305,Home,High,36.453840255737305,False,0.8708892316280149,145.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-26.260601043701172,Home,High,15.760601043701172,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-2.968210458755493,Home,Medium,5.468210458755493,False,0.5408769782295721,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-18.468278884887695,Home,High,8.968278884887695,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,5.011363506317139,Away,High,-11.51136350631714,False,0.6273868936806821,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-6.868454933166504,Home,High,10.368454933166504,False,0.7647606183385415,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Nicholls St.,N.C. State,-3.0,2.3220245838165283,Away,Medium,-5.322024583816528,False,0.5590460487376651,139.0,Under
2026-03-08,March_08_2026_Odds.csv,Marshall,Southern,-3.5,-13.067408561706545,Home,High,9.567408561706545,False,0.98,170.5,Under
2026-03-08,March_08_2026_Odds.csv,Charleston,Towson,-2.5,-7.7957234382629395,Home,Medium,5.2957234382629395,False,0.9734935526779778,133.5,Under
2026-03-08,March_08_2026_Odds.csv,Hofstra,William & Mary,-4.5,-10.117685317993164,Home,Medium,5.617685317993164,False,0.98,154.5,Under
