Home_Team,Away_Team,Spread,Over_Under,Time,Is_Neutral
Kentucky,Santa Clara,-3.5,,12:15 PM ET,True
Texas Tech,Akron,-7.5,,12:45 PM ET,True
Arizona,Long Island,-30.5,,1:00 PM ET,True
Virginia,Wright State,-18.5,,1:30 PM ET,True
Iowa State,Tennessee State,-24.5,,2:00 PM ET,True
Alabama,Hofstra,-11.5,,2:30 PM ET,True
Utah State,Villanova,-1.5,,3:00 PM ET,True
Iowa,Clemson,-2.5,,3:30 PM ET,True
St Johns,Northern Iowa,-9.5,,4:00 PM ET,True
UCLA,UCF,-5.5,,4:30 PM ET,True
Purdue,Queens,-25.5,,5:00 PM ET,True
Florida,Prairie View A&M,-35.5,,5:30 PM ET,True
Kansas,Cal Baptist,-14.5,,6:00 PM ET,True
UConn,Furman,-20.5,,6:30 PM ET,True
Miami,Missouri,-1.5,,7:00 PM ET,True
