Home_Team,Away_Team,Spread,Over_Under,Time,Is_Neutral
Alabama State,Alcorn State,-7.5,142.0,2:00 PM,True
Monmouth,Campbell,-1.5,152.0,6:00 PM,True
TAMU-CC,New Orleans,-1.5,146.5,6:00 PM,True
Hofstra,William & Mary,-4.5,138.5,6:00 PM,True
Wright State,Northern Kentucky,-1.5,157.5,7:00 PM,True
Troy,Georgia Southern,-6.5,152.5,7:00 PM,True
ETSU,Furman,-1.5,138.5,7:00 PM,True
Montana,Northern Colorado,+4.5,152.0,7:30 PM,True
Grambling,Miss. Valley State,-13.5,135.5,8:30 PM,True
Hofstra,Towson,-4.5,130.5,8:30 PM,True
Gonzaga,Oregon State,-20.5,145.5,9:00 PM,True
Robert Morris,Detroit Mercy,-4.5,146.5,9:30 PM,True
Eastern Washington,Weber State,-2.5,154.5,10:00 PM,True
Saint Mary's CA,Santa Clara,-4.0,149.0,11:30 PM,True
