Home_Team,Away_Team,Spread,Over_Under,Time,Is_Neutral
Wake Forest,Navy,-12.5,148.5,7:00 PM ET,False
Illinois State,Kent State,-6.5,153.5,7:00 PM ET,False
Utah Valley,George Washington,-1.5,157.5,8:00 PM ET,False
Bradley,Dayton,+1.5,157.5,9:00 PM ET,False
New Mexico,Sam Houston,-11.5,164.5,9:00 PM ET,False
Nevada,Murray State,-8.5,163.5,10:00 PM ET,False
Colorado State,Saint Josephs,-5.5,145.5,11:00 PM ET,False
California,UIC,-4.5,149.5,11:00 PM ET,False
