Home_Team,Away_Team,Spread,Over_Under,Time,Is_Neutral
Oregon,Maryland,-3.5,138.5,5:00 PM,True
UMBC,UMass Lowell,-8.5,147.5,6:00 PM,True
FIU,Missouri State,1.5,152.5,6:30 PM,True
Wright State,Detroit Mercy,-4.5,153.5,7:00 PM,True
Virginia Tech,Wake Forest,-1.5,151.5,7:00 PM,True
BYU,Kansas State,-10.5,168.5,7:00 PM,True
Vermont,NJIT,-10.5,135.5,7:00 PM,True
LIU,Mercyhurst,-5.5,133.5,7:00 PM,True
Hofstra,Monmouth,-4.5,134.5,7:00 PM,True
Northwestern,Penn State,-4.5,143.5,7:30 PM,True
Grambling State,Jackson State,-6.5,140.5,8:30 PM,True
New Mexico State,Jacksonville State,-1.5,141.5,9:00 PM,True
Merrimack,Siena,-1.5,129.5,9:00 PM,True
Montana,Portland State,3.5,145.5,9:00 PM,True
Gonzaga,Santa Clara,-8.5,157.5,9:00 PM,True
Oklahoma State,Colorado,1.5,164.5,9:30 PM,True
