Home_Team,Away_Team,Spread,Over_Under,Time,Is_Neutral
Illinois,Iowa,-6.5,137.5,6:09 PM ET,True
Arizona,Purdue,-5.5,153.5,8:49 PM ET,True
Michigan,Tennessee,-7.5,145.5,2:15 PM ET,True
Duke,UConn,-5.5,134.5,5:05 PM ET,True
