Home_Team,Away_Team,Spread,Over_Under,Time,Is_Neutral
UMBC,Howard,-1.5,140.5,6:40 PM,True
Texas,NC State,+1.5,158.5,9:00 PM,True
Prairie View A&M,Lehigh,+3.5,142.5,6:40 PM,True
Miami (OH),SMU,+6.5,164.5,9:15 PM,True
George Mason,Liberty,-5.5,144.5,6:00 PM,False
Yale,UNC Wilmington,-5.5,147.5,7:00 PM,False
Wichita State,Wyoming,-6.5,148.5,7:00 PM,False
Oklahoma State,Davidson,-8.5,156.5,8:00 PM,False
Tulsa,Stephen F. Austin,+7.5,154.5,9:00 PM,False
Seattle U,St. Thoman-Minnesota,-2.5,147.5,10:00 PM,False
Auburn,South Alamaba,-17.5,154.5,10:00 PM,False
UC Irvine,UNLV,-3.5,152.5,10:00 PM,False
