Home_Team,Away_Team,Spread,Over_Under,Time,Is_Neutral
Ohio State,TCU,-2.5,,12:15 PM ET,True
Nebraska,Troy,-12.5,,12:45 PM ET,True
Louisville,South Florida,-4.5,,1:00 PM ET,True
Wisconsin,High Point,-10.5,,1:30 PM ET,True
Duke,Siena,-27.5,,2:00 PM ET,True
Vanderbilt,McNeese,-11.5,,2:30 PM ET,True
Michigan State,North Dakota State,-16.5,,3:00 PM ET,True
Arkansas,Hawaii,-15.5,,3:30 PM ET,True
North Carolina,VCU,-2.5,,4:00 PM ET,True
Michigan,Howard,-31.5,,4:30 PM ET,True
BYU,Texas,-2.5,,5:00 PM ET,True
Saint Marys,Texas A&M,-3.5,,5:30 PM ET,True
Illinois,Penn,-25.5,,6:00 PM ET,True
Georgia,Saint Louis,-2.5,,6:30 PM ET,True
Gonzaga,Kennesaw State,-21.5,,7:00 PM ET,True
Houston,Idaho,-23.5,,7:30 PM ET,True
