Team,SU,ATS,avg_points_for,avg_points_against,avg_points_for_ha,avg_points_against_ha,ROff,RDef,last_5_wins
CP,13-18,15-14-0,81.7,85.7,84.1,82.8,9.4,25.9,3
UCD,18-12,16-12-0,78.1,74.8,76.2,81.1,7.1,21.6,3
UCI,21-10,16-13-0,77.3,68.0,83.0,67.9,10.9,29.5,4
TXAM,20-10,17-13-0,88.3,79.1,80.7,83.4,9.0,23.5,3
LSU,15-15,17-13-0,81.1,77.7,83.4,76.3,11.9,24.0,1
AUB,16-14,13-17-0,83.5,79.7,78.2,85.0,12.9,20.7,2
ALA,22-8,13-17-0,92.0,83.6,93.6,80.7,11.4,27.4,4
UTA,16-13,14-13-0,70.4,67.1,67.2,71.1,9.1,22.3,2
AC,13-17,12-15,70.2,72.2,77.9,68.8,9.4,19.2,1
ARK,22-8,20-10-0,90.3,79.8,84.8,86.4,9.8,21.6,3
MIZZ,20-10,14-16-0,79.8,74.8,85.2,72.8,9.5,23.4,3
MTU,16-14,12-15,75.7,72.9,71.2,75.2,8.8,21.9,4
MOSU,14-16,15-12-0,75.7,73.9,79.4,72.2,10.6,21.4,1
UVU,23-7,13-14-0,80.5,67.7,76.4,77.8,9.7,21.3,5
UTECH,18-13,17-11-0,76.1,73.7,82.1,68.4,8.6,26.6,3
SHSU,21-9,18-9-0,83.3,74.3,79.7,80.2,9.9,23.6,4
LIB,24-6,11-16,78.4,70.1,83.5,68.1,4.8,23.1,2
CSF,16-15,19-10-0,83.5,82.4,78.5,85.5,8.0,21.9,3
CSN,19-12,13-16-0,81.7,79.4,87.1,73.1,11.2,27.5,3
KENN,18-12,13-15-0,83.7,76.2,77.3,79.1,12.3,24.7,4
NMSU,14-15,12-14,75.6,72.2,76.9,68.4,10.5,25.3,3
CBU,22-8,17-13-0,72.6,67.4,71.9,71.9,11.6,24.7,3
SUU,10-20,15-12-0,76.8,79.8,87.7,74.9,9.8,26.3,2
VT,19-11,18-12-0,78.7,74.2,76.0,78.2,7.2,23.0,2
UVA,26-4,15-15-0,81.0,68.1,83.8,63.6,11.9,24.6,4
LOU,21-9,14-16-0,85.7,71.9,78.2,79.6,9.8,23.2,2
MIA,24-6,17-13-0,82.4,70.0,87.6,67.8,10.4,25.1,4
STAN,19-11,17-13-0,76.1,72.6,71.7,74.3,8.8,20.0,3
NCST,19-11,14-16-0,83.5,75.7,84.0,69.8,9.9,25.8,1
WIS,21-9,17-13-0,82.8,75.0,80.7,81.8,9.4,22.2,3
PUR,23-7,13-17-0,81.9,69.8,84.3,71.2,9.4,22.6,2
ND,13-17,15-15-0,74.6,75.3,69.9,76.5,9.4,23.2,2
BC,10-20,14-16-0,67.1,70.7,69.3,66.8,8.9,24.8,1
UCLA,20-10,13-17-0,77.6,71.0,69.0,75.9,9.2,18.1,3
USC,18-12,13-16-0,78.9,77.4,82.6,76.6,10.5,24.8,0
SMU,19-11,13-17-0,85.2,78.0,77.4,80.6,10.1,24.6,2
FSU,16-14,16-14-0,79.6,77.5,82.8,74.6,10.5,22.4,4
NW,13-17,13-17-0,73.4,72.4,66.8,75.2,6.4,19.6,3
MINN,14-16,14-16-0,70.2,68.5,74.2,62.8,7.1,23.5,3
UNC,24-6,17-13-0,80.4,70.9,77.2,79.6,9.3,22.3,4
DUKE,28-2,18-12-0,83.2,62.5,86.0,60.4,11.3,27.1,5
PITT,11-19,13-17-0,70.1,71.3,63.3,69.7,9.1,20.7,2
SYR,15-15,14-16-0,75.4,74.0,78.4,69.8,8.1,23.7,1
UCSD,21-10,15-14-0,76.4,70.3,72.1,70.5,8.7,24.6,4
UCSB,18-12,12-16,78.2,72.8,85.9,71.7,10.0,25.5,1
PROV,14-16,17-13-0,85.8,84.2,84.7,88.8,9.4,26.7,3
GTWN,13-17,12-18,74.4,73.8,78.8,74.9,10.3,23.3,0
KSU,12-18,12-18,79.0,80.3,73.7,83.4,8.9,19.9,2
KU,21-9,18-12-0,75.6,68.8,79.6,64.9,8.3,28.1,2
ARIZ,28-2,18-12-0,86.6,68.2,83.2,75.6,10.8,26.7,5
COLO,17-13,15-15-0,79.9,78.7,84.8,75.7,9.6,24.3,3
CIN,17-13,14-16-0,73.7,67.5,69.1,73.2,10.0,21.7,4
TCU,20-10,17-13-0,78.1,71.6,77.6,66.9,10.6,22.4,4
TTU,22-8,17-13-0,81.5,72.2,76.0,73.9,7.0,23.6,3
BYU,20-10,11-19,84.4,75.8,88.8,72.7,10.7,25.9,1
BUT,15-15,16-14-0,79.3,77.3,76.0,84.0,10.9,19.9,2
DEP,16-14,18-12-0,70.7,69.4,73.4,67.7,8.8,23.0,3
XAV,14-16,15-15-0,78.4,79.7,74.6,84.3,8.2,21.9,1
VILL,23-7,18-12-0,77.1,70.3,79.8,68.6,9.9,19.1,3
UTAH,10-20,13-17-0,74.6,78.6,68.5,76.7,8.5,21.5,1
BAY,15-15,13-16-0,82.1,77.0,89.6,76.7,10.3,24.6,2
FRES,13-17,20-9-0,73.6,72.6,72.3,77.0,6.9,23.5,1
GC,19-11,16-14-0,75.2,68.4,78.1,67.5,10.4,25.6,3
HOU,25-5,15-15-0,77.5,62.3,71.9,66.5,10.4,20.8,2
OKST,18-12,13-17-0,84.2,82.5,89.6,81.3,10.1,25.5,2
SLU,27-3,17-12-0,88.8,68.6,82.1,71.3,7.8,27.9,3
GMU,22-8,15-14-0,73.5,68.0,75.2,65.2,7.6,24.4,1
WYO,17-13,13-16-0,77.0,72.8,66.9,75.0,9.6,18.7,4
SJSU,8-22,14-15-0,71.2,77.9,76.1,76.7,9.8,17.9,2
ASU,16-14,19-11-0,77.6,77.6,75.4,84.5,8.4,19.7,3
ISU,24-6,17-13-0,81.6,65.8,86.1,62.6,10.1,23.7,2
AFA,3-27,10-20,62.2,80.1,57.0,79.4,5.6,21.2,0
NEV,19-11,16-14-0,75.9,72.4,77.6,68.8,9.9,24.4,2
BSU,19-11,16-12-0,78.3,73.3,79.0,77.5,9.8,23.1,4
CSU,20-10,18-11-0,77.1,71.2,80.3,68.6,7.9,25.1,5
RICH,15-15,15-14-0,77.0,73.7,73.3,77.0,6.6,20.9,1
DUQ,16-14,12-16,79.1,75.7,82.5,73.8,9.1,24.2,1
GW,17-13,15-14-0,83.3,73.8,81.4,79.1,11.4,22.6,3
L-IL,7-23,10-20,66.7,76.9,69.4,76.1,8.7,21.6,1
IND,18-12,14-16-0,78.7,71.5,71.0,77.9,5.5,20.6,1
OSU,19-11,15-15-0,80.1,72.8,85.2,72.5,7.3,24.1,3
UNM,22-8,15-14-0,80.4,70.1,76.5,69.8,7.9,24.3,3
USU,24-6,12-17,82.6,70.5,85.6,67.8,8.8,22.7,2
WASH,15-15,18-12-0,76.7,72.7,72.8,74.2,9.8,22.2,3
ORE,11-19,11-19,70.7,73.9,73.3,69.9,10.5,22.0,2
