team_id,team_name,season,wins,losses,win_pct,run_differential,era,whip,woba,runs_scored_per_game,bullpen_era
109,Arizona Diamondbacks,2025,80,82,0.49383,6,4.49,1.32,0.3307,4.88272,5.05
133,Athletics,2025,76,86,0.46914,-84,4.7,1.36,0.3279,4.52469,3.35
144,Atlanta Braves,2025,76,86,0.46914,-10,4.36,1.31,0.3187,4.46914,3.05
110,Baltimore Orioles,2025,75,87,0.46296,-111,4.6,1.37,0.3094,4.17901,3.94
111,Boston Red Sox,2025,89,73,0.54938,110,3.7,1.29,0.328,4.85185,2.54
112,Chicago Cubs,2025,92,70,0.5679,144,3.79,1.18,0.3293,4.89506,3.04
145,Chicago White Sox,2025,60,102,0.37037,-95,4.26,1.36,0.2992,3.99383,4.34
113,Cincinnati Reds,2025,83,79,0.51235,35,3.86,1.22,0.3127,4.41975,3.3
114,Cleveland Guardians,2025,88,74,0.54321,-6,3.7,1.26,0.2965,3.96914,3.29
115,Colorado Rockies,2025,43,119,0.26543,-424,5.97,1.58,0.2986,3.68519,3.68
116,Detroit Tigers,2025,87,75,0.53704,67,3.95,1.25,0.3212,4.67901,2.96
117,Houston Astros,2025,87,75,0.53704,21,3.86,1.22,0.3156,4.23457,2.94
118,Kansas City Royals,2025,82,80,0.50617,14,3.73,1.24,0.3104,4.01852,3.17
108,Los Angeles Angels,2025,72,90,0.44444,-164,4.89,1.43,0.3068,4.15432,4.79
119,Los Angeles Dodgers,2025,93,69,0.57407,142,3.95,1.26,0.3367,5.09259,3.7
146,Miami Marlins,2025,79,83,0.48765,-89,4.6,1.3,0.3124,4.37654,3.13
158,Milwaukee Brewers,2025,97,65,0.59877,172,3.58,1.23,0.3251,4.97531,2.64
142,Minnesota Twins,2025,70,92,0.4321,-95,4.55,1.31,0.3134,4.18519,4.45
121,New York Mets,2025,83,79,0.51235,51,4.03,1.32,0.3314,4.7284,3.03
147,New York Yankees,2025,94,68,0.58025,164,3.91,1.25,0.3444,5.24074,3.66
143,Philadelphia Phillies,2025,96,66,0.59259,130,3.79,1.23,0.3331,4.80247,3.43
134,Pittsburgh Pirates,2025,71,91,0.43827,-62,3.76,1.22,0.2935,3.59877,3.09
135,San Diego Padres,2025,90,72,0.55556,81,3.63,1.21,0.3133,4.33333,2.75
137,San Francisco Giants,2025,81,81,0.5,21,3.82,1.3,0.3088,4.35185,3.55
136,Seattle Mariners,2025,90,72,0.55556,72,3.87,1.22,0.3262,4.7284,2.88
138,St. Louis Cardinals,2025,78,84,0.48148,-65,4.29,1.32,0.3073,4.25309,3.38
139,Tampa Bay Rays,2025,77,85,0.47531,31,3.94,1.22,0.3149,4.40741,4.06
140,Texas Rangers,2025,81,81,0.5,79,3.47,1.18,0.3031,4.22222,2.59
141,Toronto Blue Jays,2025,94,68,0.58025,77,4.19,1.27,0.3334,4.92593,3.74
120,Washington Nationals,2025,66,96,0.40741,-212,5.35,1.45,0.3058,4.24074,4.0
